,P1,P2,P3,P4,P5,HML
2018-06-30,-0.04275316601460674,-0.03843793828989691,-0.03629583081761363,-0.05037159903179191,-0.03747880491582278,0.005274361098783958
2018-07-31,0.00406635941966292,0.00422594389484536,0.003421776175842698,0.004493097227011498,0.0376986189733125,0.03363225955364958
2018-08-31,-0.014342699533149168,-0.014969572016923074,-0.022568773174033146,-0.030653338886742855,-0.0027939038099378897,0.011548795723211278
2018-09-30,-0.014025751642596685,-0.014610686262974359,-0.016967706745714285,-0.021485158968685716,-0.01923098089320988,-0.005205229250613194
2018-10-31,-0.0906066934403315,-0.09504553641641025,0.10840233239306012,-0.0873081346918079,-0.07224274235037036,0.01836395108996114
2018-11-30,0.038799322225414365,0.03862292701666667,0.036829288480054644,0.028094983351657457,0.025278179540490796,-0.01352114268492357
2018-12-31,-0.05915311471767957,-0.05003908853214286,-0.052882725692972976,-0.0343006004121547,-0.02454980444390244,0.034603310273777124
2019-01-31,0.05733625233387977,0.033007929523248734,0.04861914478740541,0.03486189238862637,0.03325457479432927,-0.024081677539550497
2019-02-28,0.09533398012076502,0.1330013204893401,0.1256673044918919,0.11740170878032785,0.08242829797333333,-0.012905682147431694
2019-03-31,0.04171422463315218,0.05443698077106599,0.0457647593016129,0.06855856357934782,0.08385796138145454,0.042143736748302366
2019-04-30,0.019684792574594597,0.010264533334771574,0.015367461180052907,0.021447219386666664,0.00018497237005988108,-0.019499820204534717
2019-05-31,-0.0469090648460215,-0.03820258401313131,-0.04861203827984128,-0.0446663393451337,-0.027583467474269006,0.019325597371752497
2019-06-30,0.03545311638244681,0.014661139501666667,0.0237035611513089,0.024245565700106386,0.07435849615789474,0.038905379775447925
2019-07-31,0.006222505860846561,0.012888183536432162,0.006578777015572916,0.007647722914893616,-0.001827815597674419,-0.00805032145852098
2019-08-31,-0.005944246030569948,-0.0061292972063725516,0.005262138184795919,0.005980501199842109,0.006909680557225435,0.012853926587795383
2019-09-30,0.021355765658549224,0.030740649283414634,0.020525458385714283,0.03321532043368421,0.037921370111999995,0.01656560445345077
2019-10-31,0.015252974932474229,0.01285789845560976,0.011114079214213198,0.021931984742105268,0.0317168388088,0.016463863876325775
2019-11-30,0.005033278079381441,0.022551480811024392,0.030635227327157365,0.01246575444088542,0.03973189286480446,0.03469861478542302
2019-12-31,0.05885457570494845,0.06408724489585366,0.0630588277145,0.056060782077835054,0.05593555634276243,-0.002919019362186026
2020-01-31,0.01668620304769231,0.04195456160961538,0.0149473856123,0.023101194412741118,0.026024154900000006,0.009337951852307697
2020-02-29,-0.031954741714285716,-0.015871616189473685,-0.010985657603482593,-0.007113903669191918,-0.002924122961141304,0.029030618753144413
